feature,coefficient
num__Overall_Height,7.216818074715436
num__Glazing_Area,2.670031596329193
num__Wall_Area,0.7611417349886668
num__Glazing_Area_Distribution,0.3560421852026363
num__Orientation,-0.026066616169200342
num__Surface_Area,-3.701472379735174
num__Roof_Area,-3.9924294268099207
num__Relative_Compactness,-6.686923906381745
