feature,coefficient
cat__BsmtFinType2_ALQ,0.0040517183594222725
cat__BsmtFinType1_ALQ,0.0038344213601059036
cat__SaleType_New,0.003305723516461043
cat__HeatingQC_TA,0.002894197788603151
cat__GarageCond_Gd,0.00287569656578424
num__BsmtUnfSF,0.002856409509623091
cat__Foundation_BrkTil,0.0028207065312943974
num__PoolArea,0.0019193198303768732
num__BsmtHalfBath,0.0015248281521815484
num__MoSold,0.0013869421806574917
cat__Electrical_FuseF,0.0009804866477973783
cat__ExterQual_TA,0.0008036354018736549
cat__ExterCond_TA,0.0007507759723684683
num__OpenPorchSF,0.00011351149893713627
cat__BsmtExposure_Av,-0.0008374797580560891
num__Id,-0.001217354830873387
num__MiscVal,-0.0015970963327158662
cat__GarageFinish_Fin,-0.0017168413933648307
num__YrSold,-0.0018584474032995054
cat__BsmtFinType1_BLQ,-0.0021986713147761324
cat__Exterior1st_Plywood,-0.002581321653788739
cat__FireplaceQu_Gd,-0.003316075286144025
cat__GarageFinish_Unf,-0.00406515120813108
cat__Exterior2nd_Plywood,-0.004336344603913145
cat__ExterCond_Po,-0.004819713621776836
cat__ExterQual_Gd,-0.004987274325805293
cat__SaleCondition_Normal,-0.0060305842085931136
cat__GarageType_BuiltIn,-0.006062883251375018
cat__BsmtQual_Fa,-0.006391187875438564
cat__Neighborhood_Gilbert,-0.007161440120904248
cat__Neighborhood_BrkSide,-0.007206503990081221
cat__Heating_OthW,-0.007308420410860098
cat__HouseStyle_1Story,-0.007978846303558136
num__MSSubClass,-0.00809581938292785
cat__BsmtFinType2_LwQ,-0.008977145589666252
num__KitchenAbvGr,-0.009361882018692043
cat__BsmtQual_Gd,-0.00936316569510548
cat__Foundation_Slab,-0.009472538335781983
cat__LotShape_Reg,-0.009857769948421444
cat__Exterior2nd_VinylSd,-0.009858826713697503
cat__Neighborhood_CollgCr,-0.011139107828880156
cat__ExterCond_Fa,-0.011188884112891545
cat__ExterQual_Fa,-0.01196533822920329
cat__BsmtFinType1_LwQ,-0.012040163054466391
cat__LotConfig_FR2,-0.012742122679610442
cat__Exterior1st_HdBoard,-0.013914405506939606
cat__LotShape_IR1,-0.014313421313984921
cat__Fence_GdWo,-0.01450415837177576
cat__Neighborhood_SawyerW,-0.015147761418660841
num__GarageYrBlt,-0.01534696403632416
cat__Exterior1st_AsphShn,-0.015371596466439064
cat__BldgType_TwnhsE,-0.015535845408500304
cat__Neighborhood_Sawyer,-0.015770919940085063
